A+,B+,C+,AB+,AC+,BC+,ABC+,A-,B-,C-,AB-,AC-,BC-,ABC-
2,1,1,0,0,0,0,1,1,1,0,0,0,0
2,1,1,0,0,0,0,1,2,1,0,0,0,0
2,1,1,0,0,0,0,1,3,1,0,0,0,0
2,1,1,0,0,0,0,1,4,1,0,0,0,0
2,1,1,0,0,0,0,1,5,1,0,0,0,0
2,1,1,0,0,0,0,2,5,1,0,0,0,0
2,1,1,0,0,0,0,2,5,2,0,0,0,0
3,1,1,0,0,0,0,2,5,2,0,0,0,0
4,1,1,0,0,0,0,2,5,2,0,0,0,0
4,1,1,0,0,0,0,2,6,2,0,0,0,0
5,1,1,0,0,0,0,2,6,2,0,0,0,0
6,1,1,0,0,0,0,2,6,2,0,0,0,0
6,1,1,0,0,0,0,2,7,2,0,0,0,0
6,1,1,0,0,0,0,3,7,2,0,0,0,0
7,1,1,0,0,0,0,3,7,2,0,0,0,0
7,1,1,0,0,0,0,4,7,2,0,0,0,0
7,1,1,0,0,0,0,4,8,2,0,0,0,0
7,1,1,0,0,0,0,4,8,3,0,0,0,0
7,1,1,0,0,0,0,4,8,4,0,0,0,0
7,1,2,0,0,0,0,4,8,4,0,0,0,0
7,2,2,0,0,0,0,4,8,4,0,0,0,0
7,2,2,0,0,0,0,5,8,4,0,0,0,0
7,2,2,0,0,0,0,5,8,5,0,0,0,0
7,2,2,0,0,0,0,5,9,5,0,0,0,0
7,2,2,0,0,0,0,5,9,6,0,0,0,0
7,2,2,0,0,0,0,5,9,7,0,0,0,0
7,2,2,0,0,0,0,5,10,7,0,0,0,0
7,2,3,0,0,0,0,5,10,7,0,0,0,0
7,2,3,0,0,0,0,5,10,8,0,0,0,0
8,2,3,0,0,0,0,5,10,8,0,0,0,0
8,2,3,0,0,0,0,5,11,8,0,0,0,0
8,2,3,0,0,0,0,5,11,9,0,0,0,0
9,2,3,0,0,0,0,5,11,9,0,0,0,0
9,2,3,0,0,0,0,5,12,9,0,0,0,0
9,2,3,0,0,0,0,5,13,9,0,0,0,0
9,2,3,0,0,0,0,5,14,9,0,0,0,0
9,2,3,0,0,0,0,6,14,9,0,0,0,0
9,2,3,0,0,0,0,7,14,9,0,0,0,0
9,2,3,0,0,0,0,7,14,10,0,0,0,0
9,2,3,0,0,0,0,8,14,10,0,0,0,0
