,0,1,2
1792,1,0,0
5377,0,0,1
1794,0,0,1
1793,0,0,1
7172,1,0,0
1796,0,1,0
3593,0,0,1
3594,0,0,1
3596,0,0,1
3599,0,1,0
3602,0,0,1
5399,1,0,0
5400,1,0,0
5402,0,0,1
3616,0,0,1
3619,0,0,1
1789,0,1,0
8877,0,0,1
3630,1,0,0
8879,0,1,1
1841,1,0,0
8882,1,0,0
8883,0,0,1
8886,0,0,1
8888,0,1,1
8909,0,0,1
8910,0,1,1
7133,0,0,1
7136,0,0,1
7137,0,0,1
7138,1,0,1
7142,1,0,0
7144,1,0,0
7145,0,1,0
7146,0,0,1
7147,0,1,0
7149,0,0,1
5362,0,1,1
1779,0,0,1
1780,1,1,1
5365,1,0,1
5366,0,0,1
5364,0,0,1
5368,0,1,0
5371,1,0,0
5373,0,1,1
1791,0,1,1
