,0,1,2
1792,1,1,0
7169,1,1,1
7170,1,1,1
7171,1,0,1
7172,1,1,1
1793,1,1,1
5377,1,1,1
1794,1,1,1
3592,1,1,1
3593,1,1,1
3594,1,0,1
1783,1,1,1
3596,1,1,1
3597,1,1,1
3598,1,1,1
3599,0,1,0
3600,1,0,1
3601,1,1,1
3602,1,1,1
1814,1,1,0
1815,1,1,0
5400,1,1,1
5401,1,1,1
5402,1,0,1
1786,1,1,1
5403,1,0,1
5399,1,0,0
3616,1,1,1
3618,1,1,1
3619,1,1,1
3620,1,0,1
3621,1,1,1
3622,1,0,1
1788,1,1,1
1789,0,1,0
3630,1,1,1
1790,1,1,1
1841,1,0,1
1791,1,1,1
1795,1,0,0
1796,1,1,1
1797,1,1,1
5367,1,1,1
5369,0,1,0
5371,0,1,0
5376,0,1,1
8876,1,0,1
8877,1,1,1
8878,1,0,1
8879,1,0,1
8881,1,0,1
8882,1,1,1
8883,1,1,1
7159,1,1,1
8885,1,0,1
8886,1,1,1
8888,1,0,1
8889,1,1,1
8909,1,1,1
8910,1,1,1
7133,1,0,1
7134,1,1,1
7135,0,1,1
7136,1,0,1
7137,1,1,1
7138,1,1,1
7139,1,0,1
7140,1,0,1
7141,1,1,1
7142,1,1,1
7143,1,1,1
7144,1,0,0
7145,1,1,1
7146,1,1,1
7147,1,1,1
7148,1,0,1
7149,1,1,1
5358,1,1,1
5359,1,1,1
5360,1,1,1
5361,1,1,0
5362,1,1,1
1779,1,1,1
1780,1,1,1
5364,1,0,1
1782,1,0,1
5366,1,0,1
5368,1,1,1
1781,1,1,1
5370,1,1,1
5365,1,1,1
5372,1,0,1
5373,1,1,1
5374,1,1,1
5375,1,0,1
