A+,B+,C+,AB+,AC+,BC+,ABC+,A-,B-,C-,AB-,AC-,BC-,ABC-
1,1,0,0,1,0,0,1,1,1,0,0,0,0
1,1,0,0,1,0,0,1,1,2,0,0,0,0
1,1,0,0,1,0,0,1,1,3,0,0,0,0
1,1,0,0,1,0,0,1,2,3,0,0,0,0
1,1,0,0,1,0,0,1,3,3,0,0,0,0
0,1,0,0,2,0,0,2,3,3,0,0,0,0
0,1,0,0,2,0,0,2,4,3,0,0,0,0
0,1,0,0,2,0,0,2,5,3,0,0,0,0
0,1,0,0,2,0,0,3,5,3,0,0,0,0
0,1,0,0,2,0,0,4,5,3,0,0,0,0
0,1,0,0,2,0,0,4,5,4,0,0,0,0
0,1,0,0,2,0,0,4,5,5,0,0,0,0
0,1,0,0,2,0,0,4,5,6,0,0,0,0
0,1,0,0,2,0,0,4,5,7,0,0,0,0
0,1,0,0,2,0,0,4,6,7,0,0,0,0
0,1,0,0,2,0,0,5,6,6,0,1,0,0
1,1,0,0,2,0,0,5,6,6,0,1,0,0
1,1,0,0,2,0,0,5,7,6,0,1,0,0
1,1,0,0,2,0,0,6,7,6,0,1,0,0
1,1,0,0,2,0,0,7,7,6,0,1,0,0
1,1,0,0,2,0,0,7,7,7,0,1,0,0
1,1,0,0,2,0,0,8,7,7,0,1,0,0
1,1,0,0,2,0,0,8,7,8,0,1,0,0
1,1,0,0,2,0,0,8,7,9,0,1,0,0
1,1,0,0,2,0,0,8,8,9,0,1,0,0
1,1,0,0,2,0,0,9,8,9,0,1,0,0
1,1,0,0,2,0,0,9,8,10,0,1,0,0
0,1,0,0,3,0,0,10,8,10,0,1,0,0
0,1,0,0,3,0,0,10,8,11,0,1,0,0
0,1,0,0,3,0,0,11,8,11,0,1,0,0
0,1,0,0,3,0,0,12,8,11,0,1,0,0
0,1,0,0,3,0,0,12,9,11,0,1,0,0
0,1,0,0,3,0,0,13,9,11,0,1,0,0
0,1,0,0,3,0,0,14,9,11,0,1,0,0
0,1,0,0,3,0,0,14,10,11,0,1,0,0
0,1,0,0,3,0,0,15,10,11,0,1,0,0
0,1,0,0,3,0,0,15,11,11,0,1,0,0
0,1,0,0,3,0,0,16,11,11,0,1,0,0
0,1,0,0,3,0,0,17,11,11,0,1,0,0
0,1,0,0,3,0,0,18,11,11,0,1,0,0
0,1,0,0,3,0,0,18,12,11,0,1,0,0
0,1,0,0,3,0,0,19,12,11,0,1,0,0
0,1,0,0,3,0,0,19,12,12,0,1,0,0
0,1,0,0,3,0,0,20,12,12,0,1,0,0
0,1,0,0,3,0,0,20,12,13,0,1,0,0
0,1,0,0,3,0,0,20,12,14,0,1,0,0
0,1,0,0,3,0,0,21,12,14,0,1,0,0
0,1,0,0,3,0,0,21,12,15,0,1,0,0
0,1,0,0,3,0,0,21,12,16,0,1,0,0
0,1,0,0,3,0,0,22,12,16,0,1,0,0
0,1,0,0,3,0,0,22,12,16,0,2,0,0
0,1,0,0,3,0,0,22,13,16,0,2,0,0
0,1,0,0,3,0,0,23,13,15,0,3,0,0
0,1,0,0,3,0,0,23,13,16,0,3,0,0
0,1,0,0,3,0,0,23,14,16,0,3,0,0
0,1,0,0,3,0,0,24,14,14,0,5,0,0
0,1,0,0,3,0,0,24,14,15,0,5,0,0
0,1,0,0,3,0,0,25,14,15,0,5,0,0
0,1,0,0,3,0,0,25,15,15,0,5,0,0
0,1,0,0,3,0,0,25,16,15,0,5,0,0
0,1,0,0,3,0,0,25,17,15,0,5,0,0
0,1,0,0,3,0,0,24,18,15,0,6,0,0
0,1,0,0,3,0,0,25,18,15,0,6,0,0
0,1,0,0,3,0,0,25,19,15,0,6,0,0
0,1,0,0,3,0,0,25,19,16,0,6,0,0
0,1,0,0,3,0,0,25,20,16,0,6,0,0
0,1,0,0,3,0,0,25,20,17,0,6,0,0
1,1,0,0,3,0,0,25,20,17,0,6,0,0
1,1,0,0,3,0,0,25,21,17,0,6,0,0
1,1,0,0,3,0,0,25,22,15,0,8,0,0
2,1,0,0,3,0,0,24,22,15,0,9,0,0
2,1,0,0,3,0,0,25,22,15,0,9,0,0
2,1,0,0,3,0,0,25,23,15,0,9,0,0
2,1,0,0,3,0,0,24,23,16,0,10,0,0
2,1,0,0,3,0,0,25,23,16,0,10,0,0
2,1,0,0,3,0,0,26,23,16,0,10,0,0
2,1,0,0,3,0,0,27,23,16,0,10,0,0
2,1,0,0,3,0,0,27,23,17,0,10,0,0
2,1,0,0,3,0,0,27,23,18,0,10,0,0
2,1,0,0,3,0,0,26,23,19,0,11,0,0
2,1,0,0,3,0,0,26,23,20,0,11,0,0
2,1,0,0,3,0,0,26,24,20,0,11,0,0
2,1,0,0,3,0,0,26,24,21,0,11,0,0
2,1,0,0,3,0,0,26,25,21,0,11,0,0
2,1,0,0,3,0,0,27,25,21,0,11,0,0
2,1,0,0,3,0,0,27,26,21,0,11,0,0
3,1,0,0,3,0,0,26,26,21,0,12,0,0
3,1,0,0,3,0,0,26,26,22,0,12,0,0
3,1,0,0,3,0,0,27,26,22,0,12,0,0
3,1,0,0,3,0,0,27,26,23,0,12,0,0
3,1,0,0,3,0,0,28,26,23,0,12,0,0
3,1,0,0,3,0,0,29,26,23,0,12,0,0
3,1,0,0,3,0,0,29,27,23,0,12,0,0
3,2,0,0,3,0,0,29,27,23,0,12,0,0
3,2,0,0,3,0,0,28,28,23,0,13,0,0
3,2,0,0,3,0,0,29,28,23,0,13,0,0
3,2,0,0,3,0,0,30,28,23,0,13,0,0
3,3,0,0,3,0,0,30,28,23,0,13,0,0
3,3,0,0,3,0,0,30,29,23,0,13,0,0
3,3,0,0,3,0,0,30,29,24,0,13,0,0
3,3,0,0,3,0,0,31,29,24,0,13,0,0
3,3,0,0,3,0,0,31,30,24,0,13,0,0
3,3,0,0,3,0,0,31,30,25,0,13,0,0
3,3,0,0,3,0,0,32,30,25,0,13,0,0
3,3,0,0,3,0,0,32,30,26,0,13,0,0
3,3,0,0,3,0,0,32,31,26,0,13,0,0
3,3,0,0,3,0,0,33,31,26,0,13,0,0
3,3,0,0,3,0,0,33,31,27,0,13,0,0
3,3,0,0,3,0,0,34,31,27,0,13,0,0
3,3,0,0,3,0,0,34,31,28,0,13,0,0
3,3,0,0,3,0,0,35,31,28,0,13,0,0
3,3,0,0,3,0,0,35,31,29,0,13,0,0
3,3,0,0,3,0,0,35,31,30,0,13,0,0
3,3,0,0,3,0,0,35,32,30,0,13,0,0
3,3,0,0,3,0,0,35,32,31,0,13,0,0
3,3,0,0,3,0,0,35,32,32,0,13,0,0
3,3,0,0,3,0,0,35,32,33,0,13,0,0
3,3,0,0,3,0,0,36,32,33,0,13,0,0
3,3,0,0,3,0,0,36,32,34,0,13,0,0
3,3,0,0,3,0,0,36,32,35,0,13,0,0
3,4,0,0,3,0,0,36,32,35,0,13,0,0
3,4,0,0,3,0,0,36,33,35,0,13,0,0
3,4,0,0,3,0,0,36,33,36,0,13,0,0
